symbol,name,asset_class,sector,region,currency,quantity,price,cost_basis
AAPL,Apple Inc,equity,Technology,us,USD,400,210.00,56000
MSFT,Microsoft Corp,equity,Technology,us,USD,200,420.00,56000
JPM,JPMorgan Chase & Co,equity,Financials,us,USD,250,200.00,37500
IWM,iShares Russell 2000 ETF,equity,Diversified,us,USD,300,210.00,54000
VGTSX,Vanguard Total International Stock Index Fund,equity,Diversified,developed_ex_us,USD,1500,20.00,26000
RELIANCE.NS,Reliance Industries Ltd,equity,Energy,emerging_markets,INR,300,1400.00,336000
TCS.NS,Tata Consultancy Services Ltd,equity,Technology,emerging_markets,INR,150,3900.00,468000
HDFCBANK.NS,HDFC Bank Ltd,equity,Financial Services,emerging_markets,INR,400,1650.00,528000
NIFTYBEES.NS,Nippon India ETF Nifty BeES,equity,Diversified,emerging_markets,INR,3000,255.00,637500
JUNIORBEES.NS,Nippon India ETF Junior BeES,equity,Diversified,emerging_markets,INR,1500,590.00,708000
AGG,iShares Core US Aggregate Bond ETF,fixed_income,Fixed Income,us,USD,600,98.00,58800
TLT,iShares 20+ Year Treasury Bond ETF,fixed_income,Fixed Income,us,USD,300,92.00,27600
LQD,iShares IG Corporate Bond ETF,fixed_income,Fixed Income,us,USD,400,109.00,43600
AOM,iShares Core Moderate Allocation ETF,multi_asset,Multi Asset,us,USD,500,38.00,18000
BIL,SPDR 1-3 Month T-Bill ETF,cash,Cash,us,USD,400,91.60,36500
SGOV,iShares 0-3 Month Treasury Bond ETF,cash,Cash,us,USD,400,100.30,40000
GOLDBEES.NS,Nippon India ETF Gold BeES,alternatives,Commodities,emerging_markets,INR,4000,58.00,228000
VNQ,Vanguard Real Estate ETF,alternatives,Real Estate,us,USD,150,88.00,13000
